country,iso3,year,number_sources,estimate,estimate_se,score_0_100,score_se_0_100,score_ci90_lower_0_100,score_ci90_upper_0_100,dimension,score_0_1,score_se_0_1,score_ci90_lower_0_1,score_ci90_upper_0_1
Botswana,BWA,2002,6,0.7836907,0.2116542,63.7179298,4.2842059,56.6918321,70.7440276,control_of_corruption,0.637179298,0.042842059,0.566918321,0.7074402759999999
Botswana,BWA,2002,6,0.444301,0.2531335,59.9794761,4.9219323,51.907506999999995,68.0514451,government_effectiveness,0.599794761,0.049219323,0.51907507,0.680514451
Botswana,BWA,2002,7,0.8510502,0.2795452,80.4316927,4.7750791,72.600563,88.26282239999999,political_stability,0.804316927,0.047750791,0.72600563,0.8826282239999999
Botswana,BWA,2002,6,0.9057581,0.22967939999999998,69.1478839,3.6223703,63.207196599999996,75.0885711,regulatory_quality,0.691478839,0.036223703,0.6320719659999999,0.750885711
Botswana,BWA,2002,9,0.6399536,0.1878898,67.9787619,3.2337159,62.675467899999994,73.282056,rule_of_law,0.679787619,0.032337159,0.6267546789999999,0.73282056
Botswana,BWA,2002,10,0.5609991,0.1669722,66.66812,2.9224289999999997,61.875336399999995,71.4609035,voice_accountability,0.6666812,0.029224289999999997,0.6187533639999999,0.7146090350000001
Botswana,BWA,2003,6,1.2396806999999999,0.2116542,72.94786719999999,4.2842059,65.9217694,79.9739649,control_of_corruption,0.7294786719999999,0.042842059,0.6592176940000001,0.7997396489999999
Botswana,BWA,2003,6,0.6238241,0.2531335,63.470126799999996,4.9219324,55.3981577,71.54209589999999,government_effectiveness,0.6347012679999999,0.049219324,0.553981577,0.7154209589999999
Botswana,BWA,2003,7,1.1094732999999999,0.2795452,84.8459728,4.7750791,77.0148431,92.67710249999999,political_stability,0.848459728,0.047750791,0.770148431,0.9267710249999999
Botswana,BWA,2003,6,0.8864772999999999,0.22967939999999998,68.8437983,3.6223703,62.903110999999996,74.7844855,regulatory_quality,0.688437983,0.036223703,0.62903111,0.747844855
Botswana,BWA,2003,9,0.7788139,0.1878898,70.3686453,3.2337159,65.0653513,75.6719394,rule_of_law,0.703686453,0.032337159,0.6506535130000001,0.756719394
Botswana,BWA,2003,11,0.8098384,0.16366609999999998,71.02342709999999,2.8645641,66.325542,75.72131209999999,voice_accountability,0.7102342709999999,0.028645641,0.66325542,0.7572131209999999
Botswana,BWA,2004,8,0.9443982999999999,0.18765859999999998,66.9708983,3.798498,60.7413616,73.200435,control_of_corruption,0.669708983,0.03798498,0.607413616,0.73200435
