iso3,country,rho,pci_point,pci_mc_mean,pci_mc_lower95,pci_mc_upper95,rpci_point,rpci_mc_mean,rpci_mc_lower95,rpci_mc_upper95
BWA,Botswana,0.0,0.564583206834401,0.5607234211682794,0.523526639474928,0.597173040635843,0.53403505716391,0.5250582341795891,0.4801476473799186,0.5692500679070505
COD,"Congo, Dem. Rep.",0.0,0.20198951628174855,0.19765446088829275,0.1609541751800484,0.23530058577501325,0.17304355699991633,0.1678909102751487,0.12783529794707518,0.21030234083311108
GHA,Ghana,0.0,0.4877806676408468,0.48406216951022224,0.4507629654725367,0.5175388131358725,0.45398074849775133,0.44954471217681774,0.4087368472571077,0.49127873693613555
GIN,Guinea,0.0,0.29414225867494836,0.29034848536356456,0.25555911751519444,0.32451543367251084,0.2624701343233849,0.2581292342493382,0.21737626285821704,0.2992609367058283
MAR,Morocco,0.0,0.42794369343040756,0.4231082947756171,0.3891296262892973,0.45702917714070856,0.3944419519751744,0.388074741904927,0.3478698688467004,0.43000404173491746
MLI,Mali,0.0,0.2540266733230246,0.24965087366163133,0.20910841353286813,0.2895877966496724,0.22340192725218225,0.21847051978403334,0.17311307426882117,0.26508233862514824
MOZ,Mozambique,0.0,0.31328736316296957,0.30720389665410114,0.2719733772098897,0.34170583382804276,0.2909093696220394,0.2821945864463104,0.24129271160951987,0.3230066823871687
MRT,Mauritania,0.0,0.33092581275758476,0.32686430628604296,0.28948111065229665,0.3649646131586252,0.2963172378875438,0.2911562811891423,0.24727280916313582,0.3366315158279957
NAM,Namibia,0.0,0.5212402345528825,0.5171337631835516,0.47843328648319905,0.5552519306685204,0.48321946332823695,0.4779626139495441,0.4306680769772733,0.5253827695362202
NGA,Nigeria,0.0,0.2905652923174743,0.286178243555521,0.24834775350357924,0.32360663688141017,0.2586857375016803,0.25332568113533255,0.209965127628644,0.2966030234538926
SEN,Senegal,0.0,0.5094690271353777,0.5024076004879262,0.4710400556527838,0.5330898195404015,0.48888102084529605,0.4794085888890711,0.44029983636159514,0.5176336749030624
SLE,Sierra Leone,0.0,0.3329391585317203,0.3299500437198675,0.29365851482403243,0.3649456792758645,0.29445860557125586,0.2912153955378212,0.24841017968941304,0.3336503611519132
TZA,Tanzania,0.0,0.42365040699502576,0.4185093198964903,0.3838254676957132,0.45175519007361997,0.40029924678095213,0.3919513331766922,0.34920695283368175,0.43357120387800324
ZAF,South Africa,0.0,0.4658048289894366,0.4609100858919728,0.4224965981275415,0.49863261697673916,0.42998321997106026,0.4236138312524694,0.3784335074672356,0.46842262579607313
ZMB,Zambia,0.0,0.3997821392246472,0.39638059622206073,0.3601799455334227,0.43194528194234294,0.3640546986309639,0.35960084623767735,0.3161902186751434,0.4035856206036846
ZWE,Zimbabwe,0.0,0.27430576234077236,0.27064125723852883,0.23617157458124957,0.30554256247913913,0.243067753641624,0.2381396715515866,0.19884925464442865,0.2792796506151282
BWA,Botswana,0.25,0.564583206834401,0.5616714438116165,0.5179021341033285,0.6034530409653555,0.53403505716391,0.5268723453075969,0.4779504420661657,0.5735741453783578
COD,"Congo, Dem. Rep.",0.25,0.20198951628174855,0.19900900112163056,0.15301736051686712,0.24443877171825934,0.17304355699991633,0.16947268780836494,0.12232987750283694,0.21778312857501728
GHA,Ghana,0.25,0.4877806676408468,0.4847050915777543,0.4442982689016009,0.5244304087353006,0.45398074849775133,0.4503939511014414,0.40550403564545306,0.4949361864058975
GIN,Guinea,0.25,0.29414225867494836,0.2913643720750918,0.24938319798991787,0.33243819040056,0.2624701343233849,0.259308350054028,0.21427783262231764,0.30427871246740007
MAR,Morocco,0.25,0.42794369343040756,0.4240182837545182,0.3825658043251372,0.4658119596037796,0.3944419519751744,0.38943046656041685,0.3440169712433114,0.4353516956778397
MLI,Mali,0.25,0.2540266733230246,0.25078340045594333,0.20191217208283732,0.29979007275383135,0.22340192725218225,0.21985983289439964,0.16763784370546642,0.27415639932499913
MOZ,Mozambique,0.25,0.31328736316296957,0.30857222700203507,0.26493832797813055,0.3522013337637186,0.2909093696220394,0.28411688809555036,0.23630111127874812,0.33181702703015203
MRT,Mauritania,0.25,0.33092581275758476,0.3276081435298742,0.28311406446597914,0.37109015237659726,0.2963172378875438,0.2921407610910042,0.24344218323060474,0.33972546380832924
