country,iso3,pci__entropy_sensitivity,pci__fraser_bivariate_sensitivity,pci__pca_sensitivity,pci__uniform_primary,rpci__entropy_sensitivity,rpci__fraser_bivariate_sensitivity,rpci__pca_sensitivity,rpci__uniform_primary,pci_rank__entropy_sensitivity,pci_rank__fraser_bivariate_sensitivity,pci_rank__pca_sensitivity,pci_rank__uniform_primary,rpci_rank__entropy_sensitivity,rpci_rank__fraser_bivariate_sensitivity,rpci_rank__pca_sensitivity,rpci_rank__uniform_primary
Botswana,BWA,0.5616491722758098,0.5644160868606279,0.564414225232639,0.564583206834401,0.5300965850108533,0.533593675558663,0.535138568310018,0.53403505716391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Congo, Dem. Rep.",COD,0.17792756775808907,0.2001622714728933,0.20079843812579343,0.20198951628174855,0.14965870379812687,0.17140744234520097,0.1717906208039967,0.17304355699991633,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Ghana,GHA,0.46619805779855245,0.48586250889957866,0.4862625889413731,0.4877806676408468,0.4291838070719055,0.4519273742445345,0.4526409374423951,0.45398074849775133,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Guinea,GIN,0.27073813352499554,0.29327330154836007,0.29266696031078543,0.29414225867494836,0.23618536394194686,0.261229085698306,0.26120340416444354,0.2624701343233849,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0
Mali,MLI,0.24214659194509577,0.25307369770283106,0.255545859210716,0.2540266733230246,0.21475160832067552,0.22228895142701852,0.2249883289988317,0.22340192725218225,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Mauritania,MRT,0.30857015316535524,0.32993439919512235,0.32969259976813886,0.33092581275758476,0.2707061751760332,0.2949475886135392,0.29556203567131634,0.2963172378875438,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
Morocco,MAR,0.4098685506625327,0.42909020396495523,0.42659284199740816,0.42794369343040756,0.3731477458356995,0.39572676946800434,0.3930906344859603,0.3944419519751744,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
Mozambique,MOZ,0.2941669689365476,0.3117770698691362,0.3121668325817267,0.31328736316296957,0.2698355415255853,0.28917418456477106,0.28952132657838847,0.2909093696220394,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Namibia,NAM,0.5032901845878571,0.5197003652201678,0.5202854314874317,0.5212402345528825,0.4635099072576213,0.4814279701333658,0.48286077626794544,0.48321946332823695,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Nigeria,NGA,0.26787879553026345,0.2887953500222118,0.2902309543858584,0.2905652923174743,0.23701510870898046,0.25700321122465447,0.25821587950365765,0.2586857375016803,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0
Senegal,SEN,0.5057520364109808,0.5082437507842171,0.508698928609078,0.5094690271353777,0.4845270571781099,0.48761129897788846,0.4884113604906698,0.48888102084529605,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
Sierra Leone,SLE,0.3160832235059837,0.33079929915783285,0.3319185629236445,0.3329391585317203,0.27788034956029156,0.2925284155694303,0.2940885359722378,0.29445860557125586,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
South Africa,ZAF,0.4460260971535391,0.46463985913400563,0.4648344949838463,0.4658048289894366,0.41128323847452175,0.4300567554712616,0.4290002244293575,0.42998321997106026,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Tanzania,TZA,0.41616594574171367,0.4237306175977557,0.4233207035590349,0.42365040699502576,0.39101729394858104,0.4000825360518482,0.4005514389191844,0.40029924678095213,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
Zambia,ZMB,0.38129423321267736,0.39825521338760733,0.3988003574817523,0.3997821392246472,0.3436825341790489,0.36233312454173944,0.3637690346079208,0.3640546986309639,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Zimbabwe,ZWE,0.2515569781112457,0.27322381719448724,0.27294685528441337,0.27430576234077236,0.2169505452437452,0.24162627491156297,0.24207207607565873,0.243067753641624,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
