scheme,dimension,weight,role
uniform_primary,control_of_corruption,0.16666666666666666,primary
uniform_primary,government_effectiveness,0.16666666666666666,primary
uniform_primary,political_stability,0.16666666666666666,primary
uniform_primary,regulatory_quality,0.16666666666666666,primary
uniform_primary,rule_of_law,0.16666666666666666,primary
uniform_primary,voice_accountability,0.16666666666666666,primary
pca_sensitivity,control_of_corruption,0.17240421192580466,sensitivity
pca_sensitivity,government_effectiveness,0.16671216769973343,sensitivity
pca_sensitivity,political_stability,0.1556272087587662,sensitivity
pca_sensitivity,regulatory_quality,0.16789871353718183,sensitivity
pca_sensitivity,rule_of_law,0.17422278086812393,sensitivity
pca_sensitivity,voice_accountability,0.16313491721038995,sensitivity
entropy_sensitivity,control_of_corruption,0.26391557676931116,sensitivity
entropy_sensitivity,government_effectiveness,0.20988403671378927,sensitivity
entropy_sensitivity,political_stability,0.17323077281681484,sensitivity
entropy_sensitivity,regulatory_quality,0.107133859779454,sensitivity
entropy_sensitivity,rule_of_law,0.1312444680110784,sensitivity
entropy_sensitivity,voice_accountability,0.11459128590955234,sensitivity
fraser_bivariate_sensitivity,control_of_corruption,0.17221294928821737,sensitivity
fraser_bivariate_sensitivity,government_effectiveness,0.1689882986253725,sensitivity
fraser_bivariate_sensitivity,political_stability,0.16877856524892731,sensitivity
fraser_bivariate_sensitivity,regulatory_quality,0.1707360767624158,sensitivity
fraser_bivariate_sensitivity,rule_of_law,0.1782515227517019,sensitivity
fraser_bivariate_sensitivity,voice_accountability,0.14103258732336518,sensitivity
