iso3,scheme,pci_mc_mean,pci_mc_lower95,pci_mc_upper95,rpci_mc_mean,rpci_mc_lower95,rpci_mc_upper95,pci_rank_median,pci_rank_lower95,pci_rank_upper95
BWA,uniform_primary,0.5611567593507764,0.5246250024281286,0.5963405670989155,0.525502838569077,0.4815990300402619,0.5685851117376689,1.0,1.0,2.0
COD,uniform_primary,0.1980402602398136,0.16019212475423686,0.23479322832796173,0.1683179056758639,0.12734274353721892,0.2098777285488518,16.0,15.0,16.0
GHA,uniform_primary,0.48375483751186105,0.45016055725275206,0.5164925457893654,0.44915110463101754,0.4076116019975325,0.49017427622743737,4.0,2.0,5.0
GIN,uniform_primary,0.29024348224406993,0.2555031075797139,0.3248897478533681,0.25793793864220943,0.21766409239648074,0.29927910679682046,12.0,10.0,15.0
MAR,uniform_primary,0.42290170035403696,0.3882690075395838,0.4567196353479502,0.38790772283669,0.3468541022575861,0.42879306183838545,6.0,5.0,8.0
MLI,uniform_primary,0.24943752425186339,0.20786938833710428,0.28899745098183033,0.21821898406773477,0.1717918799952471,0.2643922140860893,15.0,12.0,16.0
MOZ,uniform_primary,0.3074209867720644,0.27154679887170363,0.34278391397585883,0.28244104598594666,0.24100052208423145,0.32413760666534736,11.0,9.0,14.0
MRT,uniform_primary,0.3268399170005403,0.28908399128929274,0.3647789434068813,0.2912209199367774,0.247022640517393,0.33693336128102075,10.0,9.0,12.0
NAM,uniform_primary,0.517477999402632,0.4793768757836633,0.5554887431334855,0.4783502467057213,0.43149339473081305,0.5251723803594571,2.0,1.0,4.0
NGA,uniform_primary,0.28623256777502043,0.24816549961284523,0.32414038844881915,0.2533251434703884,0.21005181674119994,0.29714964262825433,13.0,10.0,15.0
SEN,uniform_primary,0.5023747132873061,0.4708574330448211,0.5333572030321484,0.4792735629064688,0.4393175841513932,0.51774965792063,3.0,2.0,4.0
SLE,uniform_primary,0.3297944945489883,0.2939803421994651,0.36563091003209686,0.2910199729958427,0.2489939591572949,0.3343216896804295,10.0,9.0,12.0
TZA,uniform_primary,0.41843368089703165,0.3846107637276965,0.4509876445520238,0.3919528564548441,0.3503710371654562,0.43291191303347226,7.0,5.0,8.0
ZAF,uniform_primary,0.46094989815426096,0.4223901109896331,0.4996533971170416,0.42367873216316937,0.37833545653683315,0.4700444481688982,5.0,3.0,6.0
ZMB,uniform_primary,0.3963045880262948,0.36096204950238187,0.4318764820054765,0.35950975699921817,0.31644166041400007,0.4031930439370041,8.0,6.0,8.0
ZWE,uniform_primary,0.27085594277017006,0.23540301766653082,0.3052419034534633,0.23850543024173368,0.19770353472658972,0.2797226721432749,14.0,11.0,15.0
BWA,pca_sensitivity,0.5608479337379056,0.5242973167426687,0.5961988199740342,0.5262946250321695,0.4825610847945576,0.5690788398931582,1.0,1.0,2.0
COD,pca_sensitivity,0.19689533960232933,0.15883988285866632,0.23391331482478375,0.16713071506884386,0.12614552967544768,0.2088284232775905,16.0,15.0,16.0
GHA,pca_sensitivity,0.48223224372122314,0.44815904005986545,0.5152953200866275,0.4477991963827297,0.4059482788899302,0.4891514189188893,4.0,2.0,5.0
GIN,pca_sensitivity,0.2887643172423723,0.2538709491346382,0.32392276232709744,0.25665516645272257,0.2159472844233207,0.29835465822356944,12.0,10.0,15.0
MAR,pca_sensitivity,0.4215805290246024,0.38659434983961544,0.4558693801977092,0.38660305362075686,0.34488016437086444,0.4281126485659283,6.0,5.0,8.0
MLI,pca_sensitivity,0.25096501640044844,0.21028017829155654,0.2899471976700224,0.21980559777728287,0.1737241128383009,0.26534671321227327,15.0,12.0,15.0
MOZ,pca_sensitivity,0.3064331147937484,0.27033568320504336,0.3420766992082167,0.28125764766109396,0.23951323024169247,0.323316338738036,11.0,9.0,14.0
MRT,pca_sensitivity,0.32554229827700254,0.287407549402918,0.3637883640217025,0.29035776303318445,0.24599926889869952,0.33635812192719994,10.0,9.0,12.0
NAM,pca_sensitivity,0.5164360040927813,0.4780859412221277,0.5546378821580827,0.47785650748692626,0.43078923174030975,0.5247063429286073,2.0,1.0,4.0
NGA,pca_sensitivity,0.28594078627090164,0.24801999006589862,0.32344544044875745,0.2529569163300239,0.2099016027926534,0.2965814562642155,13.0,10.0,15.0
SEN,pca_sensitivity,0.5015285335222965,0.4697873980566775,0.5326049909486559,0.47868049583597566,0.4383231755478798,0.5174999932368671,3.0,2.0,4.0
SLE,pca_sensitivity,0.32870400012799894,0.29265458686922385,0.3647279262766819,0.2905429219818971,0.24829492541790235,0.3338487934725648,10.0,9.0,12.0
TZA,pca_sensitivity,0.41796115594878513,0.3839256894499207,0.45070421946475364,0.39200431378051276,0.3506269225621202,0.4329368017231465,7.0,5.0,8.0
ZAF,pca_sensitivity,0.46001434949524567,0.42125439174610424,0.4987388114704763,0.4227593277987244,0.37703970033609235,0.46949709319863225,5.0,3.0,6.0
ZMB,pca_sensitivity,0.39523703216166645,0.35959871537013943,0.43112245309303304,0.35908398356603277,0.3160177968246279,0.4030409460379286,8.0,6.0,8.0
ZWE,pca_sensitivity,0.26946398661630994,0.23367412746294192,0.30422952561758326,0.2374377464486703,0.19626313300047268,0.27910200948748964,14.0,11.0,15.0
BWA,entropy_sensitivity,0.5583502118598106,0.5170040430925753,0.5982105107586398,0.5218834761429578,0.4716747170889155,0.5692723289971034,1.0,1.0,2.0
COD,entropy_sensitivity,0.1739806327034503,0.1293386735218141,0.21771976544024607,0.14507315420400324,0.09881768146696451,0.19276791033212787,16.0,15.0,16.0
GHA,entropy_sensitivity,0.46262456431885585,0.4215590062006544,0.5025554651663195,0.4251603704301247,0.3753486787204077,0.47476243597077267,4.0,2.0,6.0
GIN,entropy_sensitivity,0.26742001807527516,0.225114142865779,0.31026172286149795,0.23274060031221944,0.18497794551193897,0.2828761956370643,12.0,10.0,15.0
MAR,entropy_sensitivity,0.40553489934720177,0.36163544071352305,0.4477936185409551,0.3676855266084292,0.31622465365246843,0.4187446905799214,7.0,5.0,8.0
MLI,entropy_sensitivity,0.23681395286299012,0.19176561174280068,0.2801976703533999,0.2082245724062127,0.1584188779961957,0.2576473891966179,15.0,12.0,15.0
MOZ,entropy_sensitivity,0.28879065980214663,0.24488721343526954,0.331349056198453,0.2622807861570288,0.2115570970732724,0.31273713816096455,11.0,9.0,14.0
MRT,entropy_sensitivity,0.3048268451320593,0.25907610439142054,0.35052985221449184,0.2667138051406324,0.21438243521267375,0.32163967750437805,10.0,9.0,13.0
NAM,entropy_sensitivity,0.499837366752391,0.45486334576181686,0.5446244463044128,0.4590080772021688,0.404820540343963,0.5138608203888666,3.0,1.0,4.0
NGA,entropy_sensitivity,0.2633535240681436,0.21956272159296525,0.30710156162334296,0.2315197127425795,0.1832009308601663,0.2816083612862598,13.0,10.0,15.0
SEN,entropy_sensitivity,0.4988547609046495,0.459674882162561,0.5338994515089995,0.475262784162741,0.42666322899477277,0.5195377471525708,3.0,2.0,4.0
SLE,entropy_sensitivity,0.3130983701849248,0.2703852131074005,0.35509147796951457,0.2741713180766593,0.22502641976494836,0.32370215318548945,9.0,9.0,12.0
TZA,entropy_sensitivity,0.4111639142732429,0.370654252175005,0.4492361195169145,0.38343869559613125,0.33426593808799826,0.4304427822420447,6.0,5.0,8.0
ZAF,entropy_sensitivity,0.4409790403035776,0.3961420034462069,0.4861266309170264,0.4048235278412393,0.3521018985992275,0.4585691275952801,5.0,3.0,7.0
ZMB,entropy_sensitivity,0.37796981369723426,0.3355424181147718,0.42012130822452703,0.33948846467636984,0.28926497766694664,0.3908306146985072,8.0,6.0,9.0
ZWE,entropy_sensitivity,0.2486465425109228,0.2056878123881037,0.29095921905631367,0.2138150107922506,0.16577591677258913,0.2631396206739923,14.0,11.0,15.0
BWA,fraser_bivariate_sensitivity,0.5610173981907904,0.5242766623254477,0.5965330942454781,0.5251281073525342,0.4810371329718175,0.5684058616671182,1.0,1.0,2.0
COD,fraser_bivariate_sensitivity,0.19616319273667518,0.15788626192617408,0.2333649439859097,0.16662760107033392,0.12537635617989917,0.20845598953051547,16.0,15.0,16.0
GHA,fraser_bivariate_sensitivity,0.4818689546673093,0.44774550378967776,0.5151972914653451,0.44713786344696566,0.4050220735209782,0.4886196673920237,4.0,2.0,5.0
GIN,fraser_bivariate_sensitivity,0.2894341427655052,0.25455451162718806,0.32446541460680806,0.25683496166449693,0.2160531033589909,0.29858214236542574,12.0,10.0,15.0
MAR,fraser_bivariate_sensitivity,0.4240471959620499,0.3891412551259142,0.4583934862935412,0.3891029329963618,0.3474691133019448,0.4305488128943432,6.0,5.0,8.0
MLI,fraser_bivariate_sensitivity,0.24851607145759336,0.20661741673451284,0.28853311306414736,0.2171220512638275,0.17040981876205763,0.26369992681651166,15.0,12.0,16.0
MOZ,fraser_bivariate_sensitivity,0.3059712048885298,0.2696194871523214,0.3417942231980265,0.2807805584574218,0.23869633096716336,0.3230543573570975,11.0,9.0,14.0
MRT,fraser_bivariate_sensitivity,0.32588590285935387,0.28760594121658084,0.3642580006573138,0.2899437959156071,0.24538075274904428,0.33619047527846174,10.0,9.0,12.0
NAM,fraser_bivariate_sensitivity,0.5159591460354609,0.4774290122421197,0.5543170755515534,0.47661735400865146,0.4291582002935523,0.5238006621752163,2.0,1.0,4.0
NGA,fraser_bivariate_sensitivity,0.2844247787322641,0.24588304488613563,0.3224286391876115,0.2516442219251066,0.20790042846020595,0.2958537448198764,13.0,10.0,15.0
SEN,fraser_bivariate_sensitivity,0.5011936100960042,0.46930316635683733,0.5324448579381958,0.47805308340385044,0.4374958125643745,0.5172884899354494,3.0,2.0,4.0
SLE,fraser_bivariate_sensitivity,0.3276667336041923,0.29144434702879957,0.3639175680973464,0.2890679322071519,0.24661895812533915,0.3327475877968288,10.0,9.0,12.0
TZA,fraser_bivariate_sensitivity,0.4185308874240212,0.38426574640093,0.45128591820605335,0.3918687956299777,0.35011010010742993,0.43285094123226403,7.0,5.0,8.0
ZAF,fraser_bivariate_sensitivity,0.45956487526162726,0.4206100698718838,0.4984662364894508,0.4234136701004398,0.3777049400521371,0.4700940706321841,5.0,3.0,7.0
