iso3,scheme,rank,pci_probability,rpci_probability
BWA,uniform_primary,1,0.9444,0.8789
BWA,uniform_primary,2,0.0522,0.0988
BWA,uniform_primary,3,0.0032,0.0203
BWA,uniform_primary,4,0.0002,0.002
BWA,uniform_primary,5,0.0,0.0
BWA,uniform_primary,6,0.0,0.0
BWA,uniform_primary,7,0.0,0.0
BWA,uniform_primary,8,0.0,0.0
BWA,uniform_primary,9,0.0,0.0
BWA,uniform_primary,10,0.0,0.0
BWA,uniform_primary,11,0.0,0.0
BWA,uniform_primary,12,0.0,0.0
BWA,uniform_primary,13,0.0,0.0
BWA,uniform_primary,14,0.0,0.0
BWA,uniform_primary,15,0.0,0.0
BWA,uniform_primary,16,0.0,0.0
COD,uniform_primary,1,0.0,0.0
COD,uniform_primary,2,0.0,0.0
COD,uniform_primary,3,0.0,0.0
COD,uniform_primary,4,0.0,0.0
COD,uniform_primary,5,0.0,0.0
COD,uniform_primary,6,0.0,0.0
COD,uniform_primary,7,0.0,0.0
COD,uniform_primary,8,0.0,0.0
COD,uniform_primary,9,0.0,0.0
COD,uniform_primary,10,0.0,0.0
COD,uniform_primary,11,0.0,0.0
COD,uniform_primary,12,0.0,0.0
COD,uniform_primary,13,0.0001,0.0009
COD,uniform_primary,14,0.0009,0.0039
COD,uniform_primary,15,0.0342,0.0584
COD,uniform_primary,16,0.9648,0.9368
GHA,uniform_primary,1,0.0009,0.0026
GHA,uniform_primary,2,0.0456,0.0588
GHA,uniform_primary,3,0.1978,0.1911
GHA,uniform_primary,4,0.574,0.5355
GHA,uniform_primary,5,0.1739,0.1823
GHA,uniform_primary,6,0.0072,0.0253
GHA,uniform_primary,7,0.0006,0.0041
GHA,uniform_primary,8,0.0,0.0003
GHA,uniform_primary,9,0.0,0.0
GHA,uniform_primary,10,0.0,0.0
GHA,uniform_primary,11,0.0,0.0
GHA,uniform_primary,12,0.0,0.0
GHA,uniform_primary,13,0.0,0.0
GHA,uniform_primary,14,0.0,0.0
GHA,uniform_primary,15,0.0,0.0
GHA,uniform_primary,16,0.0,0.0
GIN,uniform_primary,1,0.0,0.0
GIN,uniform_primary,2,0.0,0.0
GIN,uniform_primary,3,0.0,0.0
GIN,uniform_primary,4,0.0,0.0
GIN,uniform_primary,5,0.0,0.0
GIN,uniform_primary,6,0.0,0.0
GIN,uniform_primary,7,0.0,0.0
GIN,uniform_primary,8,0.0,0.0001
GIN,uniform_primary,9,0.0127,0.0276
GIN,uniform_primary,10,0.0529,0.0776
GIN,uniform_primary,11,0.1671,0.1551
GIN,uniform_primary,12,0.321,0.2804
GIN,uniform_primary,13,0.2799,0.2601
GIN,uniform_primary,14,0.1361,0.151
GIN,uniform_primary,15,0.0303,0.0474
GIN,uniform_primary,16,0.0,0.0007
MAR,uniform_primary,1,0.0,0.0
MAR,uniform_primary,2,0.0,0.0001
MAR,uniform_primary,3,0.0002,0.0011
MAR,uniform_primary,4,0.0023,0.0104
MAR,uniform_primary,5,0.0668,0.0905
MAR,uniform_primary,6,0.4719,0.3414
MAR,uniform_primary,7,0.3526,0.4131
MAR,uniform_primary,8,0.106,0.1417
MAR,uniform_primary,9,0.0002,0.0016
MAR,uniform_primary,10,0.0,0.0001
MAR,uniform_primary,11,0.0,0.0
MAR,uniform_primary,12,0.0,0.0
MAR,uniform_primary,13,0.0,0.0
MAR,uniform_primary,14,0.0,0.0
MAR,uniform_primary,15,0.0,0.0
MAR,uniform_primary,16,0.0,0.0
MLI,uniform_primary,1,0.0,0.0
MLI,uniform_primary,2,0.0,0.0
MLI,uniform_primary,3,0.0,0.0
MLI,uniform_primary,4,0.0,0.0
MLI,uniform_primary,5,0.0,0.0
MLI,uniform_primary,6,0.0,0.0
MLI,uniform_primary,7,0.0,0.0
MLI,uniform_primary,8,0.0,0.0
MLI,uniform_primary,9,0.0001,0.0006
MLI,uniform_primary,10,0.0009,0.0046
MLI,uniform_primary,11,0.0049,0.0095
MLI,uniform_primary,12,0.0225,0.0338
MLI,uniform_primary,13,0.0613,0.0866
MLI,uniform_primary,14,0.1869,0.2049
MLI,uniform_primary,15,0.6909,0.6054
MLI,uniform_primary,16,0.0325,0.0546
MOZ,uniform_primary,1,0.0,0.0
MOZ,uniform_primary,2,0.0,0.0
MOZ,uniform_primary,3,0.0,0.0
MOZ,uniform_primary,4,0.0,0.0
MOZ,uniform_primary,5,0.0,0.0
MOZ,uniform_primary,6,0.0,0.0
MOZ,uniform_primary,7,0.0,0.0001
MOZ,uniform_primary,8,0.0004,0.0045
MOZ,uniform_primary,9,0.088,0.205
MOZ,uniform_primary,10,0.2093,0.2708
MOZ,uniform_primary,11,0.3727,0.2726
MOZ,uniform_primary,12,0.1956,0.1458
MOZ,uniform_primary,13,0.0998,0.0748
MOZ,uniform_primary,14,0.0288,0.0218
MOZ,uniform_primary,15,0.0052,0.0045
MOZ,uniform_primary,16,0.0002,0.0001
MRT,uniform_primary,1,0.0,0.0
MRT,uniform_primary,2,0.0,0.0
MRT,uniform_primary,3,0.0,0.0
MRT,uniform_primary,4,0.0,0.0
MRT,uniform_primary,5,0.0,0.0
MRT,uniform_primary,6,0.0,0.0
MRT,uniform_primary,7,0.0,0.0005
MRT,uniform_primary,8,0.0035,0.0128
MRT,uniform_primary,9,0.3989,0.3582
MRT,uniform_primary,10,0.3595,0.2805
MRT,uniform_primary,11,0.1565,0.1929
MRT,uniform_primary,12,0.0586,0.0989
MRT,uniform_primary,13,0.0183,0.0413
MRT,uniform_primary,14,0.0044,0.0131
MRT,uniform_primary,15,0.0003,0.0016
MRT,uniform_primary,16,0.0,0.0002
NAM,uniform_primary,1,0.0494,0.0673
NAM,uniform_primary,2,0.6457,0.4013
NAM,uniform_primary,3,0.2296,0.3595
NAM,uniform_primary,4,0.0655,0.1411
NAM,uniform_primary,5,0.0095,0.0285
NAM,uniform_primary,6,0.0003,0.002
NAM,uniform_primary,7,0.0,0.0003
NAM,uniform_primary,8,0.0,0.0
NAM,uniform_primary,9,0.0,0.0
