iso3,regulatory_quality,control_of_corruption,fdi_index,rule_of_law,government_effectiveness,political_stability
BWA,1.0,1.0,0.083,1.0,1.0,1.0
COD,0.013,0.0,0.204,0.0,0.0,0.175
GHA,0.644,0.654,0.169,0.823,0.76,0.643
GIN,0.204,0.248,0.077,0.273,0.369,0.466
MLI,0.341,0.304,0.084,0.291,0.241,0.0
MRT,0.2,0.307,0.158,0.38,0.391,0.611
MAR,0.688,0.473,0.249,0.588,0.736,0.557
MOZ,0.3,0.282,0.27,0.264,0.439,0.323
NAM,0.778,0.845,0.122,0.987,0.866,0.801
NGA,0.184,0.132,0.103,0.302,0.309,0.145
SEN,0.595,0.707,0.32,0.751,0.845,0.638
SLE,0.179,0.443,0.022,0.416,0.354,0.621
ZAF,0.699,0.623,1.0,0.839,0.79,0.503
TZA,0.396,0.533,0.161,0.536,0.596,0.56
ZMB,0.481,0.505,0.0,0.493,0.522,0.709
ZWE,0.0,0.144,0.049,0.146,0.289,0.463
