Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Botswana,BWA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,61.0252289
Botswana,BWA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,60.2725227
Botswana,BWA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,84.3398245
Botswana,BWA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,62.5104152
Botswana,BWA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,62.8760173
"Congo, Dem. Rep.",COD,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,17.2848698
"Congo, Dem. Rep.",COD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,17.6222884
"Congo, Dem. Rep.",COD,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,34.3693483
"Congo, Dem. Rep.",COD,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,34.2431387
"Congo, Dem. Rep.",COD,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,29.755029
Ghana,GHA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,45.8969954
Ghana,GHA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,50.051445
Ghana,GHA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,62.6874031
Ghana,GHA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,52.305874
Ghana,GHA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,57.0014518
Guinea,GIN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,28.1404776
Guinea,GIN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,33.3576455
Guinea,GIN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,51.9956519
Guinea,GIN,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,39.7137478
Guinea,GIN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,38.8007372
Mali,MLI,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,30.5924906
Mali,MLI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,27.8906754
Mali,MLI,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,23.7355619
Mali,MLI,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,43.6526916
