model,feature,weight,criterion
logistic_regression,rule_of_law,0.1806518722628768,RC
logistic_regression,regulatory_quality,0.18275901328898053,RC
logistic_regression,government_effectiveness,0.1811739039280855,OF
logistic_regression,control_of_corruption,0.17403523055083134,EI
logistic_regression,political_stability,0.1543362842683547,OF
logistic_regression,fraser_ppi,0.1270436957008711,EV
random_forest,rule_of_law,0.1606425702811245,RC
random_forest,regulatory_quality,0.18473895582329317,RC
random_forest,government_effectiveness,0.15863453815261044,OF
random_forest,control_of_corruption,0.16265060240963855,EI
random_forest,political_stability,0.18473895582329317,OF
random_forest,fraser_ppi,0.14859437751004015,EV
