iso3,mean_score,cv,gini,pci,rpci
BWA,0.8471666666666667,0.4033984527576838,0.15033772706406956,0.5054209441054489,0.4294371081580596
COD,0.06533333333333334,1.3517905043608394,0.662414965986394,-0.022983646284908173,-0.007758935012847414
GHA,0.6154999999999999,0.34231210762683173,0.16386858019676853,0.404806897755685,0.33847176616660246
GIN,0.2728333333333333,0.44956350588068533,0.25096721645286113,0.15017742347888635,0.11248781353432769
MLI,0.2101666666666667,0.5939560966531424,0.3191911181601905,0.08533689368673125,0.0580981151705462
MRT,0.3411666666666666,0.433843251729072,0.23701351571405338,0.19315381061843157,0.14737374689019064
MAR,0.5485,0.2898466159890985,0.15755089638407793,0.3895191311299795,0.328150042861704
MOZ,0.313,0.1906075035775477,0.09336173233936806,0.2533398513802276,0.22968760398477148
NAM,0.7331666666666666,0.3836541444360647,0.1755323179510495,0.4518842364376252,0.37256394897018874
NGA,0.19583333333333333,0.41429329181544505,0.22397163120567365,0.11470089701947535,0.08901115001326947
SEN,0.6426666666666666,0.2566416037866838,0.13667012448132798,0.47773166263309114,0.41244001683235476
SLE,0.33916666666666667,0.5678806160933703,0.3152334152334151,0.14656049104166524,0.10035972691231478
ZAF,0.7423333333333333,0.21399265533985323,0.1206406226612784,0.5834794521860489,0.5130881277642624
TZA,0.46366666666666667,0.32112389146110687,0.15995686556434197,0.31477222232586677,0.26442224427589894
ZMB,0.4516666666666667,0.47878139908484224,0.22632226322263183,0.23541706808001298,0.18213694443090805
ZWE,0.18183333333333332,0.851875380795393,0.4639474488237092,0.026933993258704363,0.014438035799693492
