iso3,configuration,pci_c1,pci_c3,rpci_c1,rpci_c3,delta_pci
BWA,standalone_mcdm,0.5054209441054489,0.5114209441054489,0.4294371081580596,0.43453710815805957,0.006
BWA,standalone_ai,0.5054209441054489,0.5144209441054489,0.4294371081580596,0.43708710815805957,0.009
BWA,static_ai_mcdm,0.5054209441054489,0.5244209441054489,0.4294371081580596,0.4455871081580596,0.019
BWA,aiml_mrms_full_adaptive,0.5054209441054489,0.5354209441054489,0.4294371081580596,0.4549371081580596,0.03
COD,standalone_mcdm,-0.022983646284908173,-0.01698364628490817,-0.007758935012847414,-0.0026589350128474135,0.006
COD,standalone_ai,-0.022983646284908173,-0.013983646284908174,-0.007758935012847414,-0.00010893501284741508,0.009
COD,static_ai_mcdm,-0.022983646284908173,-0.003983646284908174,-0.007758935012847414,0.008391064987152584,0.019
COD,aiml_mrms_full_adaptive,-0.022983646284908173,0.0070163537150918255,-0.007758935012847414,0.017741064987152583,0.03
GHA,standalone_mcdm,0.404806897755685,0.410806897755685,0.33847176616660246,0.34357176616660245,0.006
GHA,standalone_ai,0.404806897755685,0.413806897755685,0.33847176616660246,0.34612176616660245,0.009
GHA,static_ai_mcdm,0.404806897755685,0.42380689775568503,0.33847176616660246,0.35462176616660246,0.019
GHA,aiml_mrms_full_adaptive,0.404806897755685,0.43480689775568504,0.33847176616660246,0.3639717661666025,0.03
GIN,standalone_mcdm,0.15017742347888635,0.15617742347888636,0.11248781353432769,0.11758781353432768,0.006
GIN,standalone_ai,0.15017742347888635,0.15917742347888636,0.11248781353432769,0.12013781353432769,0.009
GIN,static_ai_mcdm,0.15017742347888635,0.16917742347888634,0.11248781353432769,0.12863781353432768,0.019
GIN,aiml_mrms_full_adaptive,0.15017742347888635,0.18017742347888635,0.11248781353432769,0.13798781353432768,0.03
MLI,standalone_mcdm,0.08533689368673125,0.09133689368673126,0.0580981151705462,0.0631981151705462,0.006
MLI,standalone_ai,0.08533689368673125,0.09433689368673125,0.0580981151705462,0.0657481151705462,0.009
MLI,static_ai_mcdm,0.08533689368673125,0.10433689368673126,0.0580981151705462,0.07424811517054619,0.019
MLI,aiml_mrms_full_adaptive,0.08533689368673125,0.11533689368673125,0.0580981151705462,0.0835981151705462,0.03
MRT,standalone_mcdm,0.19315381061843157,0.19915381061843157,0.14737374689019064,0.15247374689019064,0.006
MRT,standalone_ai,0.19315381061843157,0.20215381061843157,0.14737374689019064,0.15502374689019063,0.009
MRT,static_ai_mcdm,0.19315381061843157,0.21215381061843155,0.14737374689019064,0.16352374689019064,0.019
MRT,aiml_mrms_full_adaptive,0.19315381061843157,0.22315381061843156,0.14737374689019064,0.17287374689019064,0.03
