rank,country,iso3,pci,pci_measurement_95_ci,pci_rank_measurement_95_interval,rpci,rpci_rank,rpci_measurement_95_ci
1,Botswana,BWA,0.5646,0.5246-0.5963,1-2,0.534,1,0.4816-0.5686
2,Namibia,NAM,0.5212,0.4794-0.5555,1-4,0.4832,3,0.4315-0.5252
3,Senegal,SEN,0.5095,0.4709-0.5334,2-4,0.4889,2,0.4393-0.5177
4,Ghana,GHA,0.4878,0.4502-0.5165,2-5,0.454,4,0.4076-0.4902
5,South Africa,ZAF,0.4658,0.4224-0.4997,3-6,0.43,5,0.3783-0.4700
6,Morocco,MAR,0.4279,0.3883-0.4567,5-8,0.3944,7,0.3469-0.4288
7,Tanzania,TZA,0.4237,0.3846-0.4510,5-8,0.4003,6,0.3504-0.4329
8,Zambia,ZMB,0.3998,0.3610-0.4319,6-8,0.3641,8,0.3164-0.4032
9,Sierra Leone,SLE,0.3329,0.2940-0.3656,9-12,0.2945,10,0.2490-0.3343
10,Mauritania,MRT,0.3309,0.2891-0.3648,9-12,0.2963,9,0.2470-0.3369
11,Mozambique,MOZ,0.3133,0.2715-0.3428,9-14,0.2909,11,0.2410-0.3241
12,Guinea,GIN,0.2941,0.2555-0.3249,10-15,0.2625,12,0.2177-0.2993
13,Nigeria,NGA,0.2906,0.2482-0.3241,10-15,0.2587,13,0.2101-0.2971
14,Zimbabwe,ZWE,0.2743,0.2354-0.3052,11-15,0.2431,14,0.1977-0.2797
15,Mali,MLI,0.254,0.2079-0.2890,12-16,0.2234,15,0.1718-0.2644
16,"Congo, Dem. Rep.",COD,0.202,0.1602-0.2348,15-16,0.173,16,0.1273-0.2099
